numathlete	nom	numnation
1	nom_du_N1_nation_55	55
2	nom_du_N2_nation_21	21
3	nom_du_N3_nation_93	93
4	nom_du_N4_nation_48	48
5	nom_du_N5_nation_60	60
6	nom_du_N6_nation_51	51
7	nom_du_N7_nation_63	63
8	nom_du_N8_nation_74	74
9	nom_du_N9_nation_71	71
10	nom_du_N10_nation_95	95
11	nom_du_N11_nation_74	74
12	nom_du_N12_nation_57	57
13	nom_du_N13_nation_51	51
14	nom_du_N14_nation_94	94
15	nom_du_N15_nation_80	80
16	nom_du_N16_nation_38	38
17	nom_du_N17_nation_53	53
18	nom_du_N18_nation_58	58
19	nom_du_N19_nation_80	80
20	nom_du_N20_nation_47	47
21	nom_du_N21_nation_6	6
22	nom_du_N22_nation_60	60
23	nom_du_N23_nation_46	46
24	nom_du_N24_nation_93	93
25	nom_du_N25_nation_46	46
26	nom_du_N26_nation_86	86
27	nom_du_N27_nation_37	37
28	nom_du_N28_nation_53	53
29	nom_du_N29_nation_26	26
30	nom_du_N30_nation_20	20
31	nom_du_N31_nation_60	60
32	nom_du_N32_nation_88	88
33	nom_du_N33_nation_17	17
34	nom_du_N34_nation_72	72
35	nom_du_N35_nation_81	81
36	nom_du_N36_nation_12	12
37	nom_du_N37_nation_64	64
38	nom_du_N38_nation_95	95
39	nom_du_N39_nation_11	11
40	nom_du_N40_nation_56	56
41	nom_du_N41_nation_78	78
42	nom_du_N42_nation_49	49
43	nom_du_N43_nation_11	11
44	nom_du_N44_nation_92	92
45	nom_du_N45_nation_94	94
46	nom_du_N46_nation_40	40
47	nom_du_N47_nation_12	12
48	nom_du_N48_nation_41	41
49	nom_du_N49_nation_7	7
50	nom_du_N50_nation_5	5
51	nom_du_N51_nation_58	58
52	nom_du_N52_nation_44	44
53	nom_du_N53_nation_39	39
54	nom_du_N54_nation_96	96
55	nom_du_N55_nation_82	82
56	nom_du_N56_nation_5	5
57	nom_du_N57_nation_1	1
58	nom_du_N58_nation_37	37
59	nom_du_N59_nation_61	61
60	nom_du_N60_nation_66	66
61	nom_du_N61_nation_91	91
62	nom_du_N62_nation_2	2
63	nom_du_N63_nation_8	8
64	nom_du_N64_nation_59	59
65	nom_du_N65_nation_64	64
66	nom_du_N66_nation_53	53
67	nom_du_N67_nation_72	72
68	nom_du_N68_nation_42	42
69	nom_du_N69_nation_95	95
