numnation	nom	continent
Valeur TAB Valeur TAB Valeur
1	NomNation1	Afrique
2	NomNation2	Asie
3	NomNation3	Europe
4	NomNation4	Amérique
5	NomNation5	Europe
6	NomNation6	Amérique
7	NomNation7	Europe
8	NomNation8	Amérique
9	NomNation9	Europe
10	NomNation10	Amérique
11	NomNation11	Europe
12	NomNation12	Europe
13	NomNation13	Amérique
14	NomNation14	Europe
15	NomNation15	Amérique
16	NomNation16	Europe
17	NomNation17	Amérique
18	NomNation18	Europe
19	NomNation19	Amérique
20	NomNation20	Europe
21	NomNation21	Europe
22	NomNation22	Amérique
23	NomNation23	Europe
24	NomNation24	Amérique
25	NomNation25	Europe
26	NomNation26	Amérique
27	NomNation27	Europe
28	NomNation28	Amérique
29	NomNation29	Europe
30	NomNation30	Europe
31	NomNation31	Amérique
32	NomNation32	Europe
33	NomNation33	Amérique
34	NomNation34	Europe
35	NomNation35	Amérique
36	NomNation36	Europe
37	NomNation37	Amérique
38	NomNation38	Europe
39	NomNation39	Europe
40	NomNation40	Amérique
41	NomNation41	Europe
42	NomNation42	Amérique
43	NomNation43	Europe
44	NomNation44	Amérique
45	NomNation45	Europe
46	NomNation46	Amérique
47	NomNation47	Europe
48	NomNation48	Europe
49	NomNation49	Amérique
50	NomNation50	Europe
51	NomNation51	Amérique
52	NomNation52	Europe
53	NomNation53	Amérique
54	NomNation54	Europe
55	NomNation55	Amérique
56	NomNation56	Europe
57	NomNation57	Europe
58	NomNation58	Amérique
59	NomNation59	Europe
60	NomNation60	Amérique
61	NomNation61	Europe
62	NomNation62	Amérique
63	NomNation63	Europe
64	NomNation64	Amérique
65	NomNation65	Europe
66	NomNation66	Europe
67	NomNation67	Amérique
68	NomNation68	Europe
69	NomNation69	Amérique
70	NomNation70	Europe
71	NomNation71	Amérique
72	NomNation72	Europe
73	NomNation73	Amérique
74	NomNation74	Europe
75	NomNation75	Europe
76	NomNation76	Amérique
77	NomNation77	Europe
78	NomNation78	Amérique
79	NomNation79	Europe
80	NomNation80	Amérique
81	NomNation81	Europe
82	NomNation82	Amérique
83	NomNation83	Europe
84	NomNation84	Europe
85	NomNation85	Amérique
86	NomNation86	Europe
87	NomNation87	Amérique
88	NomNation88	Europe
89	NomNation89	Amérique
90	NomNation90	Europe
91	NomNation91	Amérique
92	NomNation92	Europe
93	NomNation93	Europe
94	NomNation94	Amérique
95	NomNation95	Europe
96	NomNation96	Amérique
97	NomNation97	Europe
98	NomNation98	Amérique
99	NomNation99	Europe
100	NomNation100	Amérique
101	NomNation101	Amérique
102	NomNation102	Europe
103	NomNation103	Amérique
104	NomNation104	Amérique
105	NomNation105	Europe
106	NomNation106	Amérique
107	NomNation107	Amérique
108	NomNation108	Europe
109	NomNation109	Amérique
110	NomNation110	Amérique
111	NomNation111	Amérique
112	NomNation112	Europe
113	NomNation113	Amérique
114	NomNation114	Amérique
115	NomNation115	Europe
116	NomNation116	Amérique
117	NomNation117	Amérique
118	NomNation118	Europe
119	NomNation119	Amérique
120	NomNation120	Amérique
121	NomNation121	Europe
122	NomNation122	Amérique
123	NomNation123	Amérique
124	NomNation124	Amérique
125	NomNation125	Europe
126	NomNation126	Amérique
127	NomNation127	Amérique
128	NomNation128	Europe
129	NomNation129	Amérique
130	NomNation130	Amérique
131	NomNation131	Europe
132	NomNation132	Amérique
133	NomNation133	Amérique
134	NomNation134	Europe
135	NomNation135	Amérique
136	NomNation136	Amérique
137	NomNation137	Amérique
138	NomNation138	Europe
139	NomNation139	Amérique
140	NomNation140	Amérique
141	NomNation141	Europe
142	NomNation142	Amérique
143	NomNation143	Amérique
144	NomNation144	Europe
145	NomNation145	Amérique
146	NomNation146	Amérique
147	NomNation147	Europe
148	NomNation148	Amérique
149	NomNation149	Amérique
150	NomNation150	Amérique
151	NomNation151	Europe
152	NomNation152	Amérique
153	NomNation153	Amérique
154	NomNation154	Europe
155	NomNation155	Amérique
156	NomNation156	Amérique
157	NomNation157	Europe
158	NomNation158	Amérique
159	NomNation159	Amérique
160	NomNation160	Europe
161	NomNation161	Amérique
162	NomNation162	Amérique
163	NomNation163	Amérique
164	NomNation164	Europe
165	NomNation165	Amérique
166	NomNation166	Amérique
167	NomNation167	Europe
168	NomNation168	Amérique
169	NomNation169	Amérique
170	NomNation170	Europe
171	NomNation171	Amérique
172	NomNation172	Amérique
173	NomNation173	Europe
174	NomNation174	Amérique
175	NomNation175	Amérique
176	NomNation176	Amérique
177	NomNation177	Europe
178	NomNation178	Amérique
179	NomNation179	Amérique
180	NomNation180	Europe
181	NomNation181	Amérique
182	NomNation182	Amérique
183	NomNation183	Europe
184	NomNation184	Amérique
185	NomNation185	Amérique
186	NomNation186	Europe
187	NomNation187	Amérique
188	NomNation188	Amérique
189	NomNation189	Amérique
190	NomNation190	Europe
191	NomNation191	Amérique
192	NomNation192	Amérique
193	NomNation193	Europe
194	NomNation194	Amérique
195	NomNation195	Amérique
196	NomNation196	Europe
197	NomNation197	Amérique
198	NomNation198	Amérique
199	NomNation199	Europe
200	NomNation200	Amérique
201	NomNation201	Amérique
202	NomNation202	Amérique
203	NomNation203	Europe
204	NomNation204	Amérique
205	NomNation205	Amérique
206	NomNation206	Europe
207	NomNation207	Amérique
208	NomNation208	Amérique
209	NomNation209	Europe
210	NomNation210	Amérique
211	NomNation211	Amérique
212	NomNation212	Europe
213	NomNation213	Amérique
214	NomNation214	Amérique
215	NomNation215	Amérique
216	NomNation216	Europe
217	NomNation217	Amérique
218	NomNation218	Amérique
219	NomNation219	Europe
220	NomNation220	Amérique
221	NomNation221	Amérique
222	NomNation222	Europe
223	NomNation223	Amérique
224	NomNation224	Amérique
225	NomNation225	Europe
226	NomNation226	Amérique
227	NomNation227	Amérique
228	NomNation228	Amérique
229	NomNation229	Europe
230	NomNation230	Amérique
231	NomNation231	Amérique
232	NomNation232	Europe
233	NomNation233	Amérique
234	NomNation234	Amérique
235	NomNation235	Europe
236	NomNation236	Amérique
237	NomNation237	Amérique
238	NomNation238	Europe
239	NomNation239	Amérique
240	NomNation240	Amérique
241	NomNation241	Amérique
242	NomNation242	Europe
243	NomNation243	Amérique
244	NomNation244	Amérique
245	NomNation245	Europe
246	NomNation246	Amérique
247	NomNation247	Amérique
248	NomNation248	Europe
249	NomNation249	Amérique
250	NomNation250	Amérique
251	NomNation251	Europe
252	NomNation252	Amérique
253	NomNation253	Amérique
254	NomNation254	Amérique
255	NomNation255	Europe
256	NomNation256	Amérique
257	NomNation257	Amérique
258	NomNation258	Europe
259	NomNation259	Amérique
260	NomNation260	Amérique
261	NomNation261	Europe
262	NomNation262	Amérique
263	NomNation263	Amérique
264	NomNation264	Europe
265	NomNation265	Amérique
266	NomNation266	Amérique
267	NomNation267	Amérique
268	NomNation268	Europe
269	NomNation269	Amérique
270	NomNation270	Amérique
271	NomNation271	Europe
272	NomNation272	Amérique
273	NomNation273	Amérique
274	NomNation274	Europe
275	NomNation275	Amérique
276	NomNation276	Amérique
277	NomNation277	Europe
278	NomNation278	Amérique
279	NomNation279	Amérique
280	NomNation280	Amérique
281	NomNation281	Europe
282	NomNation282	Amérique
283	NomNation283	Amérique
284	NomNation284	Europe
285	NomNation285	Amérique
286	NomNation286	Amérique
287	NomNation287	Europe
288	NomNation288	Amérique
289	NomNation289	Amérique
290	NomNation290	Europe
291	NomNation291	Amérique
292	NomNation292	Amérique
293	NomNation293	Amérique
294	NomNation294	Europe
295	NomNation295	Amérique
296	NomNation296	Amérique
297	NomNation297	Europe
298	NomNation298	Amérique
299	NomNation299	Amérique
300	NomNation300	Europe
301	NomNation301	Amérique
302	NomNation302	Amérique
303	NomNation303	Europe
304	NomNation304	Amérique
305	NomNation305	Amérique
306	NomNation306	Amérique
307	NomNation307	Europe
308	NomNation308	Amérique
309	NomNation309	Amérique
310	NomNation310	Europe
311	NomNation311	Amérique
312	NomNation312	Amérique
313	NomNation313	Europe
314	NomNation314	Amérique
315	NomNation315	Amérique
316	NomNation316	Europe
317	NomNation317	Amérique
318	NomNation318	Amérique
319	NomNation319	Amérique
320	NomNation320	Europe
321	NomNation321	Amérique
322	NomNation322	Amérique
323	NomNation323	Europe
324	NomNation324	Amérique
325	NomNation325	Amérique
326	NomNation326	Europe
327	NomNation327	Amérique
328	NomNation328	Amérique
329	NomNation329	Europe
330	NomNation330	Amérique
331	NomNation331	Amérique
332	NomNation332	Amérique
333	NomNation333	Europe
334	NomNation334	Amérique
335	NomNation335	Amérique
336	NomNation336	Europe
337	NomNation337	Amérique
338	NomNation338	Amérique
339	NomNation339	Europe
340	NomNation340	Amérique
341	NomNation341	Amérique
342	NomNation342	Europe
343	NomNation343	Amérique
344	NomNation344	Amérique
345	NomNation345	Amérique
346	NomNation346	Europe
347	NomNation347	Amérique
348	NomNation348	Amérique
349	NomNation349	Europe
350	NomNation350	Amérique
351	NomNation351	Amérique
352	NomNation352	Europe
353	NomNation353	Amérique
354	NomNation354	Amérique
355	NomNation355	Europe
356	NomNation356	Amérique
357	NomNation357	Amérique
358	NomNation358	Amérique
359	NomNation359	Europe
360	NomNation360	Amérique
361	NomNation361	Amérique
362	NomNation362	Europe
363	NomNation363	Amérique
364	NomNation364	Amérique
365	NomNation365	Europe
366	NomNation366	Amérique
367	NomNation367	Amérique
368	NomNation368	Europe
369	NomNation369	Amérique
370	NomNation370	Amérique
371	NomNation371	Amérique
372	NomNation372	Europe
373	NomNation373	Amérique
